Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
vowels-fricVoiceless, 13.88, 28.57, 48.16, 68.57, 83.67, 93.06, 96.33, 97.96, 98.78, 99.59, 100.0, -0.0150277671879, 245, 13, 214, 0.00012527440115
approx-fricVoiced, 26.67, 60.0, 73.33, 86.67, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.000478211636448, 15, 7, 5, 0.000165947412286
fric-nasals, 50.0, 62.5, 87.5, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00212524947083, 8, 3, 3, 0.000101843843301
stopsVoiced-stopsVoiceless, 0.0, 0.0, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00590234984769, 3, 1, 2, 0.000179729597238
trill-stopsVoiced, 22.22, 55.56, 66.67, 77.78, 88.89, 88.89, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0102522735612, 9, 2, 7, 0.000122539844764
stopsVoiceless-phones, 37.3, 66.93, 79.89, 86.51, 90.21, 92.86, 94.97, 96.83, 98.15, 99.21, 100.0, -2.27428111251e-05, 378, 155, 199, 0.000216879041274
stopsVoiced-fric, 0.0, 33.33, 83.33, 83.33, 83.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00350399107872, 6, 5, 1, 0.000200049269144
fricVoiceless-pause, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, -0.015989880347, 2, 1, 1, 0.000971242714512
stopsVoiced-approx, 33.33, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00194199886817, 3, 1, 1, 5.43906635948e-05
vowels-vowels, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00596099310022, 2, 1, 0, 3.55334387409e-05
fricVoiced-vowels, 31.51, 50.68, 63.7, 74.66, 80.82, 86.3, 90.41, 93.15, 93.84, 95.21, 100.0, 0.00496476785929, 146, 81, 52, 0.000497468935762
vowels-trill, 42.16, 65.69, 80.39, 90.2, 97.06, 99.02, 99.02, 100.0, 100.0, 100.0, 100.0, 0.00139599172235, 102, 44, 41, 0.000129775632715
nasals-vowels, 33.33, 56.91, 71.14, 84.15, 93.9, 95.93, 96.34, 97.56, 98.78, 99.19, 100.0, -0.00906562595163, 246, 40, 183, 0.000143123936557
phones-phones, 32.77, 56.14, 71.57, 82.5, 88.73, 92.8, 94.91, 96.75, 97.71, 98.34, 100.0, -0.00520992863393, 3320, 961, 1921, 0.000266677315388
trill-fricVoiceless, 0.0, 0.0, 0.0, 33.33, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0216118590063, 3, 0, 3, 2.14036308446e-05
fricVoiced-fricVoiceless, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
